Activities,Details,Department
Yoga Class,A relaxing yoga session.,Health & Wellness
Cooking Workshop,Learn to cook delicious meals.,Culinary Arts
Tech Talk,Discussion on latest tech trends.,Technology
Networking Event,Meet and network with professionals.,Business
Evening Run,Join us for an evening run.,Sports
Art Class,Explore your creativity with painting.,Arts & Crafts
Book Club,Discuss the latest book with peers.,Literature
Gardening Workshop,Learn to grow your own garden.,Horticulture
Coding Bootcamp,Intensive coding workshop.,Technology
Music Jam Session,Play and enjoy music with others.,Music
Photography Walk,Capture beautiful moments.,Photography
Fitness Bootcamp,High-intensity interval training.,Health & Wellness
Language Exchange,Practice speaking new languages.,Education
Meditation Session,Guided meditation for relaxation.,Health & Wellness
Dance Class,Learn new dance moves.,Performing Arts
Chess Tournament,Compete in a chess competition.,Games
Volunteering,Help the community through various activities.,Community Service
Hackathon,Collaborate on tech projects.,Technology
Public Speaking Workshop,Improve your public speaking skills.,Personal Development
Karaoke Night,Sing your heart out with friends.,Entertainment
